epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.10515,1.33399,4.10593,1.094,0.00475,0.14791,0.03909,0.03002,0.92063,3.89299,0.89374,0.00028179,0.00028179,0.00028179
2,10.403,1.0107,2.70596,0.9541,0.71683,0.12589,0.19477,0.11808,1.08494,2.32153,0.94879,0.000565583,0.000565583,0.000565583
3,13.7139,0.96717,1.77054,0.92819,0.4846,0.33756,0.29603,0.20948,0.95506,1.36612,0.91742,0.000842177,0.000842177,0.000842177
4,16.984,0.92838,1.35931,0.92871,0.78257,0.36512,0.42558,0.30694,0.8779,1.22839,0.91232,0.000875253,0.000875253,0.000875253
5,20.3541,0.89032,1.0524,0.92559,0.67827,0.45183,0.49875,0.36853,0.89026,0.86993,0.92035,0.000864004,0.000864004,0.000864004
6,24.3006,0.86907,0.95676,0.9348,0.76733,0.49471,0.51795,0.37928,0.84165,0.78054,0.91031,0.000852756,0.000852756,0.000852756
7,27.6058,0.83541,0.90409,0.92562,0.76218,0.49508,0.51894,0.38412,0.83673,0.76372,0.90276,0.000841507,0.000841507,0.000841507
8,30.8935,0.83668,0.88947,0.92768,0.72159,0.53918,0.56902,0.41216,0.80158,0.68103,0.90491,0.000830258,0.000830258,0.000830258
9,35.3829,0.81893,0.82272,0.93216,0.79085,0.52445,0.57846,0.42426,0.77236,0.77554,0.90007,0.000819009,0.000819009,0.000819009
10,39.2745,0.78829,0.79138,0.92639,0.84103,0.53557,0.5853,0.4511,0.75782,0.6365,0.89051,0.00080776,0.00080776,0.00080776
11,42.5712,0.7574,0.72801,0.90282,0.81681,0.57946,0.60112,0.45621,0.76795,0.59694,0.89278,0.000796511,0.000796511,0.000796511
12,46.2842,0.76518,0.72836,0.90971,0.83125,0.55766,0.59573,0.45949,0.72144,0.592,0.88312,0.000785262,0.000785262,0.000785262
13,49.9228,0.77413,0.73625,0.91442,0.92069,0.50994,0.59594,0.45239,0.74879,0.57973,0.88891,0.000774013,0.000774013,0.000774013
14,53.1654,0.75063,0.68384,0.91817,0.82873,0.58578,0.602,0.45931,0.74193,0.56001,0.88039,0.000762765,0.000762765,0.000762765
15,56.4314,0.74602,0.68631,0.91487,0.88801,0.57583,0.60339,0.46386,0.70477,0.53607,0.8768,0.000751516,0.000751516,0.000751516
16,60.5789,0.74819,0.67406,0.92582,0.84926,0.57685,0.59849,0.4512,0.72306,0.56175,0.87625,0.000740267,0.000740267,0.000740267
17,63.8562,0.72797,0.64114,0.90491,0.8868,0.58052,0.62214,0.47519,0.74095,0.53714,0.8839,0.000729018,0.000729018,0.000729018
